date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:52	142/142	---M-Z	200	added ('OK')	text/plain	date:Wed,%2025%20Mar%202026%2016:22:53%20GMT	https://novalysenergie.fr/robots.txt		(from )
17:22:52	144119/144119	---M-Z	200	added ('OK')	text/html	date:Wed,%2025%20Mar%202026%2016:22:54%20GMT	https://novalysenergie.fr/	D:/code/sites/pages%20web/site%20demos/recuperation%20de%20site%20exemple/novalyse/novalyse/novalysenergie.fr/index.html	(from )
17:22:52	2137/2137	---M-Z	200	added ('OK')	application/json	date:Wed,%2025%20Mar%202026%2016:22:54%20GMT	https://novalysenergie.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnovalysenergie.fr%2F	D:/code/sites/pages%20web/site%20demos/recuperation%20de%20site%20exemple/novalyse/novalyse/novalysenergie.fr/wp-json/oembed/1.0/embedaf14.json	(from https://novalysenergie.fr/)
17:22:53	1893/1893	---M-Z	200	added ('OK')	application/rss+xml	etag:%226d4a75cc88ddd2c3aec20937262a5f52-gzip%22	https://novalysenergie.fr/feed/	D:/code/sites/pages%20web/site%20demos/recuperation%20de%20site%20exemple/novalyse/novalyse/novalysenergie.fr/feed/index.html	(from https://novalysenergie.fr/)
17:22:53	2289/2289	---M-Z	200	added ('OK')	text/xml	date:Wed,%2025%20Mar%202026%2016:22:54%20GMT	https://novalysenergie.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnovalysenergie.fr%2F&format=xml	D:/code/sites/pages%20web/site%20demos/recuperation%20de%20site%20exemple/novalyse/novalyse/novalysenergie.fr/wp-json/oembed/1.0/embed081f	(from https://novalysenergie.fr/)
17:22:53	1134/1134	---M-Z	200	added ('OK')	text/css	etag:%2246e-64d5dcad37fb7-gzip%22	https://novalysenergie.fr/wp-content/plugins/beyond-seo/inc/Core/Admin/assets/css/common-style.css?ver=1.1.9	D:/code/sites/pages%20web/site%20demos/recuperation%20de%20site%20exemple/novalyse/novalyse/novalysenergie.fr/wp-content/plugins/beyond-seo/inc/Core/Admin/assets/css/common-stylec5c9.css	(from https://novalysenergie.fr/)
17:22:53	1675/1675	---M-Z	200	added ('OK')	application/rss+xml	etag:%226d4a75cc88ddd2c3aec20937262a5f52-gzip%22	https://novalysenergie.fr/comments/feed/	D:/code/sites/pages%20web/site%20demos/recuperation%20de%20site%20exemple/novalyse/novalyse/novalysenergie.fr/comments/feed/index.html	(from https://novalysenergie.fr/)
17:22:53	16879/16879	---M-Z	200	added ('OK')	text/css	etag:%2241ef-641a5f1c6a280-gzip%22	https://novalysenergie.fr/wp-includes/blocks/navigation/style.min.css?ver=6.9.4	D:/code/sites/pages%20web/site%20demos/recuperation%20de%20site%20exemple/novalyse/novalyse/novalysenergie.fr/wp-includes/blocks/navigation/style.minb34e.css	(from https://novalysenergie.fr/)
17:22:54	19126/19126	---M-Z	200	added ('OK')	text/css	etag:%224ab6-62d8f44328a00-gzip%22	https://novalysenergie.fr/wp-includes/blocks/cover/style.min.css?ver=6.9.4	D:/code/sites/pages%20web/site%20demos/recuperation%20de%20site%20exemple/novalyse/novalyse/novalysenergie.fr/wp-includes/blocks/cover/style.minb34e.css	(from https://novalysenergie.fr/)
17:22:54	2947/2947	---M-Z	200	added ('OK')	text/css	etag:%22b83-64c5d9516ab28-gzip%22	https://novalysenergie.fr/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.5	D:/code/sites/pages%20web/site%20demos/recuperation%20de%20site%20exemple/novalyse/novalyse/novalysenergie.fr/wp-content/plugins/contact-form-7/includes/css/stylesb5e1.css	(from https://novalysenergie.fr/)
